IL_NO,IL_ADI,0-4,5--9,10--14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,ToplamNufus,20_20YasUstuNufus,19_19YasAltiNufus,VakaSayisi100K_1502_2102,VakaSayisi100K_2702_0503,VakaSayisi100K_0603_1203,VakaSayisi100K_1303_1903,VakaSayisi100K_2703_0204,VakaSayisi100K_0304_0904,birinci_doz_8mart,ikinci_doz_8Mart,toplam_doz_8Mart,birinci_doz_17mart,ikinci_doz_17Mart,toplam_doz_17Mart,AsiDoz1_20yasustu_Orani,AsiDoz2_20yasustu_Orani
1,Adana,172989,191772,188746,176530,169102,160727,163109,174298,169885,150606,122133,124835,95732,81268,53999,30726,18549,9630,4082,2258718,1528681,730037,42.86,53.22,63.00,61.58,111.26,171.16,191993,58509,250502,199365,110300,309665,130.42,72.15
2,Adýyaman,59042,62251,59705,57100,52515,47689,45801,44714,42307,36022,27255,27511,19410,18081,13872,8770,5792,2985,1637,632459,394361,238098,120.64,140.88,154.63,169.81,230.69,260.89,45724,15918,61642,48129,29737,77866,122.04,75.41
3,Afyonkarahisar,50058,54829,55001,55200,60398,50655,51702,53740,51722,46044,42624,43745,35922,31247,22646,14658,10126,4945,1650,736912,521824,215088,31.62,47.63,47.50,47.36,153.21,248.2,74498,23643,98141,77829,44008,121837,149.15,84.33
4,Aðrý,62206,63253,59065,58706,54253,48524,37144,31604,26296,24061,13999,18320,11112,10835,7067,4491,2602,1227,670,535435,292205,243230,19.61,24.47,22.22,41.46,121.96,254.19,14549,4093,18642,16005,7004,23009,54.77,23.97
5,Amasya,18292,21150,21892,22472,26049,21078,21977,23736,23461,21840,20360,22873,18951,17018,14091,9274,6336,3491,1153,335494,251688,83806,90.31,183.91,163.64,194.04,370.50,424.45,50418,16787,67205,51845,30891,82736,205.99,122.74
6,Ankara,364522,401480,402048,387104,439013,438849,455595,467413,455250,407475,344013,332687,252628,196043,138216,86043,53582,28865,12496,5663322,4108168,1555154,35.39,54.83,68.53,107.99,272.79,419.06,594703,229282,823985,616472,378035,994507,150.06,92.02
7,Antalya,167587,187509,186098,172359,180777,183440,197232,215677,214539,192927,159166,149989,112273,88783,61340,37814,23534,12426,4838,2548308,1834755,713553,78.92,82.05,95.16,119.18,190.44,270.96,245617,75052,320669,256084,136708,392792,139.57,74.51
8,Artvin,9134,9367,9332,9932,12322,11619,11478,11311,10984,11369,10745,12539,10431,9121,7374,5557,3582,2257,1047,169501,131736,37765,75.52,109.14,100.88,113.86,164.60,223.6,24533,7905,32438,25492,14034,39526,193.51,106.53
9,Aydýn,66680,71851,72080,69580,77683,74875,75696,81253,82432,77094,72252,75256,67941,56272,40361,26209,17811,9940,3818,1119084,838893,280191,37.71,49.42,58.71,69.07,153.16,223.67,151890,44185,196075,159482,87154,246636,190.11,103.89
10,Balýkesir,63266,70572,71648,73845,85348,77836,79951,86906,91256,89321,85684,88627,80491,69367,51758,35743,22716,11572,4378,1240285,960954,279331,92.40,172.46,257.60,288.16,430.63,529.88,190547,54662,245209,203052,101068,304120,211.30,105.17
11,Bilecik,13313,14270,13917,14101,17145,16019,16895,17099,16238,15040,13494,13394,11396,9131,6645,4689,3390,1856,685,218717,163116,55601,45.72,65.38,81.38,114.30,340.62,480.53,25558,8534,34092,26412,15358,41770,161.92,94.15
